,namePlayer,nameTeam
259,Kyle Kuzma,Los Angeles Lakers
260,Kentavious Caldwell-Pope,Los Angeles Lakers
261,Quinn Cook,Los Angeles Lakers
262,Anthony Davis,Los Angeles Lakers
263,Alex Caruso,Los Angeles Lakers
264,Talen Horton-Tucker,Los Angeles Lakers
265,JaVale McGee,Los Angeles Lakers
266,Rajon Rondo,Los Angeles Lakers
267,Jared Dudley,Los Angeles Lakers
268,Avery Bradley,Los Angeles Lakers
269,Devontae Cacok,Los Angeles Lakers
270,Danny Green,Los Angeles Lakers
271,DeMarcus Cousins,Los Angeles Lakers
272,David Stockton,Los Angeles Lakers
273,Demetrius Jackson,Los Angeles Lakers
274,Zach Norvell Jr.,Los Angeles Lakers
275,LeBron James,Los Angeles Lakers
276,Troy Daniels,Los Angeles Lakers
277,Kostas Antetokounmpo,Los Angeles Lakers
278,Dwight Howard,Los Angeles Lakers
279,De'Anthony Melton,Memphis Grizzlies
280,Kyle Anderson,Memphis Grizzlies
281,Grayson Allen,Memphis Grizzlies
282,Bruno Caboclo,Memphis Grizzlies
283,Andre Iguodala,Miami Heat
284,Ivan Rabb,Memphis Grizzlies
285,Ja Morant,Memphis Grizzlies
286,Jaren Jackson Jr.,Memphis Grizzlies
287,Brandon Clarke,Memphis Grizzlies
288,Jonas Valanciunas,Memphis Grizzlies
289,Yuta Watanabe,Memphis Grizzlies
290,Josh Jackson,Memphis Grizzlies
291,Tyus Jones,Memphis Grizzlies
292,Marko Guduric,Memphis Grizzlies
293,Dillon Brooks,Memphis Grizzlies
294,Miles Plumlee,Memphis Grizzlies
295,Matt Mooney,Memphis Grizzlies
296,Solomon Hill,Memphis Grizzlies
297,John Konchar,Memphis Grizzlies
298,Jae Crowder,Miami Heat
299,Meyers Leonard,Miami Heat
300,Davon Reed,Miami Heat
301,KZ Okpala,Miami Heat
302,Derrick Jones Jr.,Miami Heat
303,Goran Dragic,Miami Heat
304,Jeremiah Martin,Miami Heat
305,Kelly Olynyk,Miami Heat
306,Dion Waiters,Miami Heat
307,Mychal Mulder,Miami Heat
308,Bam Adebayo,Miami Heat
309,Tyler Herro,Miami Heat
310,Daryl Macon,Miami Heat
311,James Johnson,Miami Heat
312,Kyle Alexander,Miami Heat
313,Justise Winslow,Miami Heat
314,Jimmy Butler,Miami Heat
315,Kendrick Nunn,Miami Heat
316,Chris Silva,Miami Heat
317,Udonis Haslem,Miami Heat
318,Duncan Robinson,Miami Heat
319,Donte DiVincenzo,Milwaukee Bucks
320,George Hill,Milwaukee Bucks
321,D.J. Wilson,Milwaukee Bucks
322,Eric Bledsoe,Milwaukee Bucks
323,Ersan Ilyasova,Milwaukee Bucks
324,Wesley Matthews,Milwaukee Bucks
325,Brook Lopez,Milwaukee Bucks
326,Rayjon Tucker,Milwaukee Bucks
327,Cameron Reynolds,Milwaukee Bucks
328,Frank Mason,Milwaukee Bucks
329,Dragan Bender,Milwaukee Bucks
330,Jaylen Adams,Milwaukee Bucks
331,Khris Middleton,Milwaukee Bucks
332,Sterling Brown,Milwaukee Bucks
333,Pat Connaughton,Milwaukee Bucks
334,Kyle Korver,Milwaukee Bucks
335,Luke Maye,Milwaukee Bucks
336,Giannis Antetokounmpo,Milwaukee Bucks
337,Robin Lopez,Milwaukee Bucks
338,Thanasis Antetokounmpo,Milwaukee Bucks
339,Jeff Teague,Minnesota Timberwolves
340,Noah Vonleh,Minnesota Timberwolves
341,Tyrone Wallace,Minnesota Timberwolves
342,Jaylen Nowell,Minnesota Timberwolves
343,Gorgui Dieng,Minnesota Timberwolves
344,Jordan McLaughlin,Minnesota Timberwolves
345,Jordan Bell,Minnesota Timberwolves
346,Jake Layman,Minnesota Timberwolves
347,Naz Reid,Minnesota Timberwolves
348,Treveon Graham,Minnesota Timberwolves
349,Shabazz Napier,Minnesota Timberwolves
350,Jordan Murphy,Minnesota Timberwolves
351,Josh Okogie,Minnesota Timberwolves
352,Andrew Wiggins,Minnesota Timberwolves
353,Jarrett Culver,Minnesota Timberwolves
354,Lindell Wigginton,Minnesota Timberwolves
355,Kelan Martin,Minnesota Timberwolves
356,Keita Bates-Diop,Minnesota Timberwolves
357,Karl-Anthony Towns,Minnesota Timberwolves
358,Robert Covington,Houston Rockets
359,Nickeil Alexander-Walker,New Orleans Pelicans
360,Zion Williamson,New Orleans Pelicans
361,Lonzo Ball,New Orleans Pelicans
362,Josh Hart,New Orleans Pelicans
363,JJ Redick,New Orleans Pelicans
364,Josh Gray,New Orleans Pelicans
365,Jalen Adams,New Orleans Pelicans
366,Jahlil Okafor,New Orleans Pelicans
367,Javon Bess,New Orleans Pelicans
368,Jaxson Hayes,New Orleans Pelicans
369,Jrue Holiday,New Orleans Pelicans
370,Kavell Bigby-Williams,New Orleans Pelicans
371,Brandon Ingram,New Orleans Pelicans
372,Frank Jackson,New Orleans Pelicans
373,Nicolo Melli,New Orleans Pelicans
374,Darius Miller,New Orleans Pelicans
375,Derrick Favors,New Orleans Pelicans
376,Kenrich Williams,New Orleans Pelicans
377,Zylan Cheatham,New Orleans Pelicans
378,E'Twaun Moore,New Orleans Pelicans
379,Kadeem Allen,New York Knicks
380,Bobby Portis,New York Knicks
381,Wayne Ellington,New York Knicks
382,Lamar Peters,New York Knicks
383,Dennis Smith Jr.,New York Knicks
384,Elfrid Payton,New York Knicks
385,V.J. King,New York Knicks
386,RJ Barrett,New York Knicks
387,Frank Ntilikina,New York Knicks
388,Marcus Morris,New York Knicks
389,Allonzo Trier,New York Knicks
390,Ignas Brazdeikis,New York Knicks
391,Amir Hinton,New York Knicks
392,Kevin Knox,New York Knicks
393,Damyean Dotson,New York Knicks
394,Mitchell Robinson,New York Knicks
395,Reggie Bullock,New York Knicks
396,Julius Randle,New York Knicks
397,Kenny Wooten,New York Knicks
398,Taj Gibson,New York Knicks
399,Shai Gilgeous-Alexander,Oklahoma City Thunder
400,Chris Paul,Oklahoma City Thunder
401,Luguentz Dort,Oklahoma City Thunder
402,Hamidou Diallo,Oklahoma City Thunder
403,Darius Bazley,Oklahoma City Thunder
404,Danilo Gallinari,Oklahoma City Thunder
405,Nerlens Noel,Oklahoma City Thunder
406,Abdel Nader,Oklahoma City Thunder
407,Steven Adams,Oklahoma City Thunder
408,Justin Patton,Oklahoma City Thunder
409,Abdul Gaddy,Oklahoma City Thunder
410,Myke Henry,Oklahoma City Thunder
411,Dennis Schroder,Oklahoma City Thunder
412,Andre Roberson,Oklahoma City Thunder
413,Devon Hall,Oklahoma City Thunder
414,Terrance Ferguson,Oklahoma City Thunder
415,Eric Moreland,Oklahoma City Thunder
416,Deonte Burton,Oklahoma City Thunder
417,Mike Muscala,Oklahoma City Thunder
418,DeVaughn Akoon-Purcell,Oklahoma City Thunder
419,Aaron Gordon,Orlando Magic
420,Jonathan Isaac,Orlando Magic
421,Al-Farouq Aminu,Orlando Magic
422,Chuma Okeke,Orlando Magic
423,Josh Magette,Orlando Magic
424,Mo Bamba,Orlando Magic
425,Michael Carter-Williams,Orlando Magic
426,Terrence Ross,Orlando Magic
427,Nikola Vucevic,Orlando Magic
428,Evan Fournier,Orlando Magic
429,Amile Jefferson,Orlando Magic
430,Hassani Gravett,Orlando Magic
431,BJ Johnson,Orlando Magic
432,D.J. Augustin,Orlando Magic
433,Isaac Humphries,Orlando Magic
434,Jon Davis,Orlando Magic
435,DaQuan Jeffries,Orlando Magic
436,Markelle Fultz,Orlando Magic
437,Vic Law,Orlando Magic
438,Khem Birch,Orlando Magic
